Date,AAPL,AMZN,GOOG,META,MSFT
2013-02-22,13.81301,13.271,19.89545,27.07436,22.79345
2013-02-25,13.56758,12.9935,19.67304,27.21408,22.47323
2013-02-26,13.75663,12.968,19.65712,27.33383,22.47323
2013-02-27,13.62181,13.1625,19.89719,26.8149,22.8345
2013-02-28,13.52468,13.2135,19.93252,27.19412,22.8263
2013-03-01,13.18978,13.287,20.05666,27.72303,22.94946
2013-03-04,12.87051,13.6555,20.43755,27.66315,23.11369
2013-03-05,13.21031,13.7795,20.86297,27.46356,23.27789
2013-03-06,13.0424,13.6895,20.68335,27.39371,23.06441
2013-03-07,13.19315,13.694,20.7137,28.52139,23.10547
2013-03-08,13.22809,13.7095,20.68683,27.90266,22.99052
2013-03-11,13.41652,13.562,20.76893,28.08229,22.88377
2013-03-12,13.12727,13.7065,20.58956,27.77293,22.91661
2013-03-13,13.12483,13.755,20.53234,27.02447,22.92483
2013-03-14,13.25198,13.287,20.43855,26.98455,23.10547
2013-03-15,13.59393,13.091,20.25843,26.59535,23.02336
2013-03-18,13.96345,12.8945,20.09647,26.43568,23.07262
2013-03-19,13.92577,12.8205,20.18429,26.49555,23.13831
2013-03-20,13.85192,12.864,20.26863,25.80697,23.25326
2013-03-21,13.87184,12.6695,20.1828,25.68722,23.08084
2013-03-22,14.15312,12.8875,20.15916,25.67723,23.1958
2013-03-25,14.20429,12.801,20.14249,25.07846,23.12189
2013-03-26,14.12953,13.0155,20.21165,25.1583,23.12189
2013-03-27,13.85192,13.265,19.96884,26.0365,23.29432
2013-03-28,13.56329,13.3245,19.75812,25.52754,23.49138
2013-04-01,13.14199,13.0805,19.93227,25.47765,23.49138
2013-04-02,13.16895,13.166,20.22708,25.36787,23.64739
2013-04-03,13.23636,12.9515,20.05691,26.19617,23.45032
2013-04-04,13.10552,12.954,19.78002,27.01449,23.48316
2013-04-05,12.96703,12.774,19.48098,27.33383,23.56528
2013-04-08,13.05926,12.9475,19.27698,26.79494,23.47496
2013-04-09,13.08285,13.057,19.34664,26.53547,24.31247
2013-04-10,13.34973,13.2385,19.65836,27.51346,24.8626
2013-04-11,13.30805,13.4925,19.66359,27.96254,23.76234
2013-04-12,13.16926,13.6435,19.65513,27.34381,23.63918
2013-04-15,12.86438,13.386,19.45312,26.46561,23.55707
2013-04-16,13.06017,13.617,19.73772,26.8648,23.78697
2013-04-17,12.34196,13.37,19.46879,26.57539,23.67202
2013-04-18,12.01258,12.971,19.05457,25.63732,23.63918
2013-04-19,11.96601,13.016,19.89943,25.67723,24.44385
2013-04-22,12.21542,13.1775,19.9054,25.91674,25.3142
2013-04-23,12.444,13.445,20.09921,25.92672,25.12535
2013-04-24,12.42346,13.439,20.23728,26.05646,26.07782
2013-04-25,12.51294,13.735,20.12906,26.08639,26.22561
2013-04-26,12.78319,12.7405,19.93799,26.79494,26.10244
2013-04-29,13.17906,12.487,20.37685,26.92467,26.77574
2013-04-30,13.56697,12.6905,20.51393,27.71305,27.17807
2013-05-01,13.46003,12.4115,20.41093,27.37375,26.86606
2013-05-02,13.65092,12.6275,20.63931,28.91059,27.22734
2013-05-03,13.78758,12.9025,21.0401,28.25194,27.49829
2013-05-06,14.11635,12.786,21.43393,27.51346,27.71179
2013-05-07,14.05354,12.8865,21.32645,26.83486,27.35051
2013-05-08,14.21226,12.934,21.73446,27.06439,27.08776
2013-05-09,14.08827,13.008,21.68097,26.98455,26.8168
2013-05-10,13.97106,13.1815,21.89865,26.62529,26.84143
2013-05-13,14.02565,13.2255,21.83148,26.765,27.1206
2013-05-14,13.69008,13.4165,22.06957,27.01449,27.72419
2013-05-15,13.22712,13.328,22.78582,26.54545,27.98879
2013-05-16,13.40385,13.206,22.48678,26.07641,28.17896
2013-05-17,13.36314,13.495,22.61888,26.19617,28.83217
2013-05-20,13.6614,13.3815,22.60271,25.70717,29.00581
2013-05-21,13.56054,13.443,22.5639,25.60738,28.81563
2013-05-22,13.61266,13.148,22.12729,25.1084,28.6172
2013-05-23,13.63703,13.09,21.96234,25.00861,28.23685
2013-05-24,13.72987,13.087,21.72675,24.26015,28.33606
2013-05-28,13.61543,13.3645,21.92453,24.05058,28.95619
2013-05-29,13.7237,13.2765,21.60211,23.27218,28.84044
2013-05-30,13.92819,13.3415,21.66306,24.49965,28.96448
2013-05-31,13.87113,13.46,21.6745,24.30007,28.85698
2013-06-03,13.90166,13.344,21.58519,23.80109,29.42751
2013-06-04,13.85818,13.285,21.37298,23.47177,28.93139
2013-06-05,13.72863,13.3585,21.38791,22.85304,28.75775
2013-06-06,13.52353,13.3915,21.5108,22.9229,28.90659
2013-06-07,13.62685,13.8435,21.88622,23.24224,29.49364
2013-06-10,13.53679,14.0535,22.14719,24.28011,29.32828
2013-06-11,13.497,13.739,21.88821,23.98072,28.80737
2013-06-12,13.33014,13.5835,21.69341,23.72125,28.93966
2013-06-13,13.44641,13.7895,21.8183,23.68134,28.70815
2013-06-14,13.26414,13.6995,21.76954,23.58154,28.44356
2013-06-17,13.32428,13.903,22.04842,23.97074,28.93966
2013-06-18,13.31718,14.088,22.40592,24.16035,28.92312
2013-06-19,13.04669,13.908,22.40742,24.26015,28.60065
2013-06-20,12.8567,13.672,22.01086,23.85099,27.69112
2013-06-21,12.75368,13.668,21.91607,24.4797,27.50921
2013-06-24,12.41564,13.5305,21.63893,23.89091,27.8813
2013-06-25,12.41841,13.6045,21.54961,24.20027,27.83996
2013-06-26,12.27777,13.8785,21.73496,24.11045,28.40221
2013-06-27,12.14545,13.8775,21.82004,24.60943,28.62546
2013-06-28,12.23027,13.8845,21.90214,24.82898,28.55931
2013-07-01,12.62167,14.105,22.08897,24.75912,28.41048
2013-07-02,12.90759,14.1865,21.9504,24.35994,28.06321
2013-07-03,12.97883,14.2015,22.0529,24.46972,28.12109
2013-07-05,12.87458,14.294,22.22854,24.32002,28.28645
2013-07-08,12.80148,14.5295,22.51713,24.65933,28.38569
2013-07-09,13.02664,14.5765,22.52086,25.42775,28.40221
2013-07-10,12.97667,14.6165,22.53952,25.74709,28.69161
2013-07-11,13.17901,14.983,22.89404,25.75707,29.51018
2013-07-12,13.15495,15.3775,22.9627,25.85686,29.49364
2013-07-15,13.18363,15.3285,23.00475,26.22611,29.90707
2013-07-16,13.26876,15.3435,22.87836,26.26602,29.98975
2013-07-17,13.27215,15.4345,22.85199,26.59535,29.55154
2013-07-18,13.31688,15.2055,22.6562,26.12631,29.30347
2013-07-19,13.10683,15.2615,22.30591,25.82693,25.96301
2013-07-22,13.14878,15.174,22.6567,25.99658,26.46738
2013-07-23,12.92301,15.053,22.48504,26.07641,26.31029
2013-07-24,13.58676,14.947,22.46265,26.45564,26.42604
2013-07-25,13.52476,15.17,22.0845,34.28954,25.95474
2013-07-26,13.60156,15.6005,22.02603,33.94025,26.14491
2013-07-29,13.81129,15.305,21.94941,35.35734,26.07878
2013-07-30,13.98185,15.1205,22.1646,37.55283,26.33509
2013-07-31,13.95749,15.061,22.08574,36.72453,26.32682
2013-08-01,14.08549,15.2785,22.49549,37.41312,26.18626
2013-08-02,14.26623,15.2105,22.55395,37.97197,26.36816
2013-08-05,14.47936,15.0495,22.51489,39.10963,26.21107
2013-08-06,14.34982,15.0375,22.30517,38.47094,26.11185
2013-08-07,14.34149,14.8455,22.15789,38.79029,26.50873
2013-08-08,14.31292,14.787,22.20789,38.46097,27.19501
2013-08-09,14.10926,14.863,22.15192,38.42105,27.03791
2013-08-12,14.51007,14.8345,22.03001,38.14162,27.17848
2013-08-13,15.19962,14.6985,21.92403,36.94408,26.83709
2013-08-14,15.47687,14.567,21.63942,36.57484,26.937
2013-08-15,15.45855,14.3235,21.38691,36.48503,26.47071
2013-08-16,15.59578,14.241,21.31849,37.00396,26.47903
2013-08-19,15.76374,14.2785,21.53593,37.73246,26.13763
2013-08-20,15.55666,14.3545,21.53021,38.33123,26.32915
2013-08-21,15.59671,14.2285,21.62748,38.24142,26.32082
2013-08-22,15.61534,14.4865,21.73645,38.47094,26.97031
2013-08-23,15.55511,14.5005,21.64937,40.46684,28.93542
2013-08-26,15.61565,14.3105,21.55434,41.25522,28.43582
2013-08-27,15.1692,14.0465,21.15031,39.55871,27.69473
2013-08-28,15.24091,14.079,21.11051,40.46684,27.49489
2013-08-29,15.26575,14.199,21.28167,41.19535,27.93621
2013-08-30,15.12666,14.049,21.06946,41.20533,27.81131
2013-09-03,15.16889,14.44,21.40482,41.78414,26.54564
2013-09-04,15.48277,14.682,21.6847,41.69432,25.97943
2013-09-05,15.37659,14.705,21.88199,42.57251,26.0044
2013-09-06,15.46818,14.793,21.88249,43.85987,25.93779
2013-09-09,15.715,14.9855,22.0932,43.94969,26.36246
2013-09-10,15.35703,15.018,22.10863,43.51059,26.97031
2013-09-11,14.52094,14.982,22.29571,44.94764,27.26174
2013-09-12,14.67555,14.943,22.21784,44.65823,27.22012
2013-09-13,14.4337,14.896,22.11858,44.21914,27.50322
2013-09-16,13.97482,14.803,22.08599,42.42282,27.31171
2013-09-17,14.13627,15.2085,22.04494,44.97758,27.41995
2013-09-18,14.42687,15.6015,22.47309,45.13725,27.74469
2013-09-19,14.66345,15.603,22.35044,45.88571,28.01116
2013-09-20,14.51163,15.817,22.46787,47.39261,27.30338
2013-09-23,15.23285,15.5745,22.05464,47.09323,27.26174
2013-09-24,15.18503,15.7065,22.0631,48.35064,27.02028
2013-09-25,14.95001,15.6325,21.82402,49.35857,27.07022
2013-09-26,15.09561,15.906,21.8474,50.28666,27.28673
2013-09-27,14.98789,15.8005,21.80312,51.13492,27.70307
2013-09-30,14.8016,15.632,21.79118,50.12699,27.71139
2013-10-01,15.14964,16.0475,22.06708,50.3166,27.9612
2013-10-02,15.19932,16.0255,22.09171,50.17689,28.2443
2013-10-03,15.00837,15.738,21.79566,49.07915,28.19434
2013-10-04,14.99658,15.952,21.70261,50.93533,28.21099
2013-10-07,15.14312,15.5015,21.53817,50.4164,27.72804
2013-10-08,14.93169,15.1615,21.23789,47.04333,27.48656
2013-10-09,15.1071,14.9115,21.29237,46.67409,27.53653
2013-10-10,15.2018,15.2585,21.60036,48.94941,28.11108
2013-10-11,15.30022,15.5445,21.69366,49.00929,28.41917
2013-10-14,15.40049,15.535,21.79616,49.40847,28.68561
2013-10-15,15.48246,15.32,21.94294,49.39849,28.71892
2013-10-16,15.55791,15.5245,22.34149,51.03513,28.84383
2013-10-17,15.66316,15.5385,22.11161,52.10293,29.07697
2013-10-18,15.79945,16.4465,25.1622,54.10881,29.11028
2013-10-21,16.18661,16.322,24.96043,53.73957,29.13526
2013-10-22,16.14035,16.627,25.05248,52.57197,28.79386
2013-10-23,16.29837,16.338,25.65976,51.79357,28.11108
2013-10-24,16.51415,16.6105,25.51398,52.34244,28.07777
2013-10-25,16.32942,18.1695,25.25648,51.84347,29.75144
2013-10-28,16.45113,17.908,25.25151,50.12699,29.61822
2013-10-29,16.04131,18.135,25.77992,49.2987,29.57659
2013-10-30,16.29651,18.054,25.63513,48.90949,29.59323
2013-10-31,16.2282,18.2015,25.63911,50.10703,29.48497
2013-11-01,16.14532,17.95,25.55104,49.64798,29.5849
2013-11-04,16.35395,17.937,25.52791,48.12111,29.9263
2013-11-05,16.31359,17.9445,25.41372,50.00724,30.50917
2013-11-06,16.26737,17.809,25.44432,49.01927,31.79149
2013-11-07,16.00412,17.178,25.07612,47.46247,31.22528
2013-11-08,16.25613,17.5155,25.27713,47.43253,31.45843
2013-11-11,16.20898,17.719,25.14179,46.10526,31.3002
2013-11-12,16.23896,17.4765,25.1714,46.51442,31.1087
2013-11-13,16.25831,17.811,25.68613,48.61011,31.77484
2013-11-14,16.49346,18.37,25.7548,48.88953,31.65825
2013-11-15,16.39447,18.4585,25.71325,48.90949,31.50838
2013-11-18,16.19586,18.309,25.66324,45.73602,30.97548
2013-11-19,16.22459,18.247,25.50527,46.26493,30.82446
2013-11-20,16.0825,18.1285,25.43337,46.33479,31.10971
2013-11-21,16.27423,18.446,25.72594,46.60423,31.37819
2013-11-22,16.2324,18.6155,25.6717,46.13519,31.52083
2013-11-25,16.35543,18.832,26.02099,44.72808,31.57953
2013-11-26,16.65709,19.0685,26.33148,45.79589,31.33623
2013-11-27,17.04932,19.3355,26.4484,46.39466,31.54598
2013-11-29,17.36505,19.681,26.36083,46.9136,31.99065
2013-12-02,17.2139,19.615,26.23371,46.9635,32.25912
2013-12-03,17.68513,19.233,26.20335,46.63417,32.14167
2013-12-04,17.6439,19.298,26.32576,48.52029,32.67023
2013-12-05,17.73447,19.2245,26.30486,48.24087,31.88158
2013-12-06,17.48839,19.3475,26.61658,47.84169,32.18361
2013-12-09,17.68857,19.2445,26.82232,48.73984,32.47726
2013-12-10,17.66108,19.389,26.98453,50.14695,31.97387
2013-12-11,17.53023,19.1095,26.80118,49.27874,31.55437
2013-12-12,17.50463,19.0625,26.61882,51.72371,31.22717
2013-12-13,17.31383,19.212,26.39069,53.21066,30.7825
2013-12-16,17.40969,19.4485,26.69395,53.69965,30.95029
2013-12-17,17.33131,19.3825,26.61633,54.7475,30.63988
2013-12-18,17.19953,19.798,26.98677,55.45604,30.69022
2013-12-19,17.00248,19.7595,27.02334,54.93711,30.41335
2013-12-20,17.14489,20.11,27.38159,55.00696,30.87479
2013-12-23,17.80286,20.146,27.74183,57.65153,30.72377
2013-12-24,17.72729,19.96,27.66073,57.84114,31.10971
2013-12-26,17.60956,20.2195,27.80054,57.61161,31.41175
2013-12-27,17.49058,19.904,27.82393,55.32631,31.28589
2013-12-30,17.31663,19.6685,27.60152,53.59985,31.28589
2013-12-31,17.51962,19.9395,27.8814,54.53793,31.38657
2014-01-02,17.27323,19.8985,27.69257,54.59781,31.17683
2014-01-03,16.89381,19.822,27.49056,54.44812,30.96708
2014-01-06,16.98593,19.6815,27.79706,57.0827,30.31267
2014-01-07,16.86446,19.9015,28.33294,57.80122,30.54758
2014-01-08,16.97125,20.096,28.3919,58.11058,30.00224
2014-01-09,16.75454,20.0505,28.11849,57.10266,29.80927
2014-01-10,16.64273,19.883,28.11699,57.82118,30.23715
2014-01-13,16.72986,19.549,27.93787,55.79535,29.34783
2014-01-14,17.06275,19.877,28.59516,57.62159,30.01903
2014-01-15,17.40532,19.7935,28.57575,57.48188,30.84123
2014-01-16,17.30821,19.79,28.76483,57.07272,30.95029
2014-01-17,16.88412,19.9805,28.62327,56.18454,30.52242
2014-01-21,17.14645,20.3525,28.95092,58.39001,30.34623
2014-01-22,17.22264,20.227,28.98376,57.39206,30.14487
2014-01-23,17.36847,19.9935,28.86135,56.51387,30.25394
2014-01-24,17.05276,19.38,27.95902,54.33834,30.88319
2014-01-27,17.1911,19.314,27.39677,53.44018,30.22877
2014-01-28,15.81706,19.7215,27.93862,55.02692,30.43013
2014-01-29,15.6375,19.21,27.53832,53.42022,30.75733
2014-01-30,15.60721,20.1505,28.24661,60.95474,30.92513
2014-01-31,15.63281,17.9345,29.38057,62.44168,31.74733
2014-02-03,15.66186,17.3075,28.19785,61.35392,30.60632
2014-02-04,15.88857,17.3975,28.31553,62.62132,30.49724
2014-02-05,16.00724,17.3225,28.44091,62.06247,30.05259
2014-02-06,16.10054,17.7295,28.85787,62.03253,30.35462
2014-02-07,16.32579,18.054,29.29274,64.1881,30.67344
2014-02-10,16.61827,18.0435,29.18054,63.41968,30.87479
2014-02-11,16.83722,18.0895,29.60969,64.71701,31.18521
2014-02-12,16.83597,17.4625,29.52287,64.31783,31.43691
2014-02-13,17.10332,17.86,29.85151,67.19193,31.55437
2014-02-14,17.08949,17.8675,29.92366,66.95242,31.56278
2014-02-18,17.15232,17.6825,30.12468,67.16199,31.63038
2014-02-19,16.88152,17.369,29.91222,67.92043,31.70645
2014-02-20,16.68612,17.49,29.95625,69.48721,31.90933
